Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BUAN,6320,501,,33,3,3,,,,1,,,,,1,,,,,0,"Kaya, Cuneyd C","Sheth, Umang",,,,,cckaya,cuneyd kaya,Database Foundations for Business Analytics 
BUAN,6320,502,,11,18,10,19,6,1,,,,,,,,,,,1,"Pandian, Thiru","Sheth, Umang",,,,,txp190010,thiru pandian,Database Foundations for Business Analytics 
BUAN,6320,503,,35,20,6,5,1,,1,,,,,,,,,,1,"Elkhodari, Gasan","Singhal, Harsh Anju",,,,,gxe051000,gasan elkhodari,Database Foundations for Business Analytics 
BUAN,6320,504,,60,,,,,,,,,,,,,,,,0,"Kamalzadeh, Hossein","Patel, Hanisha",,,,,hxk210085,hossein kamalzadeh,Database Foundations for Business Analytics 
BUAN,6320,SS1,,7,11,7,1,1,,,,,,,,,,,,0,"Scott, James A",,,,,,jas076100,james scott,
BUAN,6320,SW1,,12,,3,2,2,,,,,,,1,,,,,4,"Mishra, Vivek",,,,,,vxm190016,vivek mishra,
BUAN,6324,0W1,,4,1,4,4,2,2,1,,,,,,,,,,0,"Menon, Syam","Zhu, Wangsheng",,,,,sxm021300,syam menon,Business Analytics With SAS 
BUAN,6324,SW1,,3,3,3,1,1,,,,,,,,,,,,0,"Menon, Syam","Zhu, Wangsheng",,,,,sxm021300,syam menon,
BUAN,6335,501,,30,3,13,8,4,1,,,,,,,,,,,0,"Khan, Masudal H","Kansagra, Prince L",,,,,mhk190001,masudal khan,Organizing for Business Analytics Platforms 
BUAN,6335,SW1,,37,1,2,1,,,,,,,,,,,,,2,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan,
BUAN,6337,001,,9,18,14,9,,2,,,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol",,,,,uxs092000,upender subramanian,Predictive Analytics Using SAS 
BUAN,6337,002,,7,10,16,13,4,,,,,,,,,,,,0,"Murthi, B P","Jameei Osgouei, Ata",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
BUAN,6337,003,,7,10,14,13,3,,,,,,,,,,,,1,"Murthi, B P","Qian, Kun",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
BUAN,6337,004,,7,7,10,24,2,,,,,,,,,,,,0,"Murthi, B P","Jameei Osgouei, Ata",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
BUAN,6337,0W1,,22,16,4,,,2,,,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol",,,,,uxs092000,upender subramanian,Predictive Analytics Using SAS 
BUAN,6337,501,,10,9,12,10,,,,,,,,,,,,,0,"Tehrani, Shervin S","Nozari, Salar",,,,,sst180003,shervin tehrani,Predictive Analytics Using SAS 
BUAN,6340,001,,47,5,3,2,3,,,,,,,,,,,,0,"Parker, Jason A","Rekapalli, Sravya",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6340,002,,48,3,1,4,,,1,,,,,,,,,,2,"Parker, Jason A","Rekapalli, Sravya",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6340,003,,46,10,,,1,,,,,,,,,,,,1,"Parker, Jason A","Rekapalli, Sravya",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6340,501,,37,5,3,6,2,2,1,,,,,,,,,,3,"Parker, Jason A","Rekapalli, Sravya",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6341,001,,25,21,4,2,,,,,,,,,,,,,0,"Meng, Zixuan","Jose, Sarga",,,,,zxm200005,zixuan meng,Applied Machine Learning 
BUAN,6341,002,,23,16,5,1,,,,,,,,,,,,,0,"Meng, Zixuan","Jose, Sarga",,,,,zxm200005,zixuan meng,Applied Machine Learning 
BUAN,6341,003,,56,,,,,,,,,,,,,,,,0,"Zemoodeh, Amir",,,,,,axz120930,amir zemoodeh,Applied Machine Learning 
BUAN,6341,004,,16,8,11,3,,,,,,,,,,,,,0,"Meng, Zixuan","Jose, Sarga",,,,,zxm200005,zixuan meng,Applied Machine Learning 
BUAN,6341,0W1,,5,6,2,4,3,1,,,,,,,,,,,2,"Smashnov, Uri","Roshani, Rouzbeh",,,,,uxs051000,uri smashnov,Applied Machine Learning 
BUAN,6341,SS1,,40,,,,,,,,,,,,,,,,0,"Zemoodeh, Amir",,,,,,axz120930,amir zemoodeh,
BUAN,6342,501,,4,4,3,2,3,,1,,,,,,,,,,1,"Singh, Harpreet","Joseph, Shailender",,,,,hxs104000,harpreet singh,Applied Natural Language Processing 
BUAN,6342,SS1,,2,6,4,,,,,,,,,,,,,,0,"Singh, Harpreet",,,,,,hxs104000,harpreet singh,
BUAN,6344,0W1,,6,3,2,3,,,2,,,,,,,,,,0,"Mehra, Amit","Chen, Luoying",,,,,axm078200,amit mehra,Web Analytics 
BUAN,6346,001,,21,4,5,3,,,2,,,,,,,,,,0,"El-Youssef, Rami","Anjum, Nobila",,,,,rxe200001,rami el youssef,Big Data 
BUAN,6346,002,,15,6,9,3,,,,,,,,,,,,,0,"El-Youssef, Rami","Anjum, Nobila",,,,,rxe200001,rami el youssef,Big Data 
BUAN,6346,0W1,,14,14,1,2,,,,,,,,,,,,,0,"Perez, Jerry","Ranjan, Aishwarya",,,,,jxp180019,jerry perez,Big Data 
BUAN,6346,501,,26,8,5,1,,,,,,,,,,,,,0,"Elkhodari, Gasan","Jose, Sarga",,,,,gxe051000,gasan elkhodari,Big Data 
BUAN,6346,502,,25,17,4,9,,,,,,,,,,,,,0,"Perez, Jerry","Ranjan, Aishwarya",,,,,jxp180019,jerry perez,Big Data 
BUAN,6346,503,,15,5,2,,,,,,,,,,,,,,0,"Paes, Antonio P","Ranjan, Aishwarya",,,,,app210006,antonio paes,Big Data 
BUAN,6356,001,,19,11,9,5,1,2,2,,,,,,,,,,1,"Thouin, Mark","Kunder, Neema B",,,,,mxt083000,mark thouin,Business Analytics With R 
BUAN,6356,002,,19,6,9,11,2,5,5,,,,,1,,,,,0,"Chen, Jianqing","Tang, Ping",,,,,jxc111031,jianqing chen,Business Analytics With R 
BUAN,6356,003,,7,19,14,,,,,,,,,1,,,,,0,"Sun, Shujing","Boda, Sathvik",,,,,sxs200168,shujing sun,Business Analytics With R 
BUAN,6356,004,,4,16,26,,,,,,,,,,,,,,0,"Sun, Shujing","Boda, Sathvik",,,,,sxs200168,shujing sun,Business Analytics With R 
BUAN,6356,501,,5,4,6,11,6,6,2,,,,,,,,,,0,"Shrivastava, Prakash C","Sheth, Umang",,,,,pcs130130,prakash shrivastava,Business Analytics With R 
BUAN,6356,502,,8,22,19,6,1,,,,,,,,,,,,1,"Sun, Shujing","Boda, Sathvik",,,,,sxs200168,shujing sun,Business Analytics With R 
BUAN,6356,SS1,,22,4,2,,,,,,,,,,,,,,1,"Johnston, Walter L",,,,,,wlj031000,walter johnston,
BUAN,6356,SW1,,5,2,3,2,1,2,1,,,,,,,,,,3,"Shrivastava, Prakash C",,,,,,pcs130130,prakash shrivastava,
BUAN,6359,001,,18,4,2,6,4,3,16,,,,,2,,,,,4,"Ahadi, Khatereh","Bharadwaj, Nikhil",,,,,kxa180010,khatereh ahadi,Advanced Statistics for Data Science 
BUAN,6359,002,,5,10,5,5,4,5,1,,,,,8,,,,,0,"Toptal, Aysegul","Baswe, Vaishnav S",,,,,axt083100,aysegul toptal,Advanced Statistics for Data Science 
BUAN,6359,003,,22,5,8,4,4,6,6,,,,,1,,,,,1,"Ramezani, Rasoul","Pendyala, Meghana",,,,,rxr145930,rasoul ramezani,Advanced Statistics for Data Science 
BUAN,6359,0W1,,12,5,9,8,6,2,4,,,,,1,,,,,0,"Brussolo, Monica E","Bharadwaj, Nikhil",,,,,meb049000,monica brussolo,Advanced Statistics for Data Science 
BUAN,6359,501,,35,1,6,10,3,3,,,,,,1,,,,,1,"Enayaty Ahangar, Negin","Bharadwaj, Nikhil",,,,,nxe180001,negin enayaty ahangar,Advanced Statistics for Data Science 
BUAN,6359,502,,9,2,1,4,3,4,3,,,,,,,,,,0,"Ramezani, Rasoul","Pendyala, Meghana",,,,,rxr145930,rasoul ramezani,Advanced Statistics for Data Science 
BUAN,6359,SS1,,8,4,6,2,4,2,1,,,,,1,,,,,0,"Brussolo, Monica E",,,,,,meb049000,monica brussolo,
BUAN,6359,SW1,,8,3,,,1,3,2,,,,,,,,,1,5,"Ahadi, Khatereh","Bharadwaj, Nikhil",,,,,kxa180010,khatereh ahadi,
BUAN,6385,001,,30,6,6,5,2,6,2,,,,,,,,,,0,"Shekhar, Gaurav","Hagawane, Sagar W",,,,,gxs150130,gaurav shekhar,Robotic Process Automation 
BUAN,6392,001,,10,7,5,2,1,,,,,,,,,,,,0,"Mehra, Amit","Chen, Luoying",,,,,axm078200,amit mehra,Causal Analytics and A B Testing 
BUAN,6398,001,,19,4,7,25,5,1,7,,,,,6,,,,,0,"Alimirzaei, Athena","Sharma, Shishir Kumar",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,002,,22,5,5,18,2,5,6,,,,,1,,,,,0,"Alimirzaei, Athena","Sharma, Shishir Kumar",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,003,,10,3,3,3,7,8,5,,,,,1,,,,,0,"Ramezani, Rasoul","Pendyala, Meghana",,,,,rxr145930,rasoul ramezani,Prescriptive Analytics 
BUAN,6398,004,,16,3,5,2,,1,,,,,,,,,,,0,"Ramezani, Rasoul","Pendyala, Meghana",,,,,rxr145930,rasoul ramezani,Prescriptive Analytics 
BUAN,6398,0W1,,27,2,2,9,,1,6,,,,,,,,,,0,"Alimirzaei, Athena","Sharma, Shishir Kumar",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,SW1,,37,3,3,9,1,1,6,,,,,6,,,,,0,"Alimirzaei, Athena","Sharma, Shishir Kumar",,,,,axa134231,athena alimirzaei,
CE,1202,001,,5,2,1,2,1,,3,1,,2,1,5,,,,,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
CE,1202,002,8,5,2,4,2,,,,1,,2,2,6,,,,,3,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
CE,1202,003,1,2,2,5,2,2,1,1,2,,2,1,5,,,,,2,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
CE,1202,004,4,9,3,4,4,5,2,1,,,1,,3,,,,,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
CE,2310,002,4,12,10,1,2,2,,1,1,,2,,,,,,,2,"Ahmed, Shaheen","Xu, Xiangyu","Peng, Genchang","Munia, Munawara Saiyara",,,sxa176730,shaheen ahmed,Introduction to Digital Systems 
CE,2310,501,1,4,5,5,3,1,1,3,,,,,4,,,,,0,"Ahmed, Shaheen","Duraisamy Swamikannan, Lena","Zeng, Xiaoming","Peng, Genchang",,,sxa176730,shaheen ahmed,Introduction to Digital Systems 
CE,3161,052,,7,10,4,2,1,1,,,,,,1,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
CE,3161,091,1,1,2,2,5,2,,,,2,,,,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
CE,3201,001,,18,1,3,1,,1,1,,,2,,,,,,,0,"Nikoubin, Tooraj","Sankarraman, Sri Vignesh","Parchamdar, Baharealsadat","Datta, Rajesh K","Gao, Tianning","Duraisamy Swamikannan, Lena",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3201,002,4,4,,1,,,,,,,1,,,,,,,1,"Nikoubin, Tooraj","Sankarraman, Sri Vignesh","Parchamdar, Baharealsadat","Datta, Rajesh K","Gao, Tianning","Duraisamy Swamikannan, Lena",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3202,001,,3,1,5,8,1,,1,1,,,,,,,,,1,"Kiasaleh, Kamran","Alam, Lamia","Apalak, Merve","Hossain, Jakir",,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
CE,3202,002,1,7,5,3,10,,,2,1,,,,1,,,,,2,"Kiasaleh, Kamran","Apalak, Merve","Alam, Lamia","Hossain, Jakir",,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
CE,3301,001,5,3,1,3,2,,2,1,5,,,,1,,,,,1,"Friedman, Joseph S","Biswas, Disha",,,,,jsf160330,joseph friedman,Electrical Network Analysis 
CE,3301,002,,,1,3,2,2,4,,3,,2,,,,,,1,1,"Chiu, Yun","Parvez, Mohammad Salman","Chen, Chen",,,,yxc101000,yun chiu,Electrical Network Analysis 
CE,3303,001,3,4,2,5,5,9,5,6,1,2,,,2,,,,,1,"Kehtarnavaz, Nasser","Ni, Aoxin",,,,,nxk019000,nasser kehtarnavaz,Discrete-Time Signals and Systems 
CE,3310,001,,1,1,,2,,,2,5,,,,5,,,,,0,"Lee, Gil S","Luo, Ziyang",,,,,gslee,gill lee,Electronic Devices 
CE,3310,002,4,12,4,3,,1,,,,,,,,,,,,0,"Frensley, William","Han, Weijie",,,,,frensley,william frensley,Electronic Devices 
CE,3311,001,1,4,,2,4,,,2,1,,,,2,,,,,1,"Lee, Gil S","Cheng, Qi",,,,,gslee,gill lee,Electronic Circuits 
CE,3311,002,2,2,,1,3,,,3,,,,,,,,,,0,"Liu, Jin","Chen, Chen",,,,,jinliu,jin liu,Electronic Circuits 
CE,3311,003,3,2,2,5,3,4,2,3,1,,,,,,,,,1,"Lee, Hoi","Cheng, Qi",,,,,hxl054000,hoi lee,Electronic Circuits 
CE,3320,001,1,2,,1,3,1,1,1,,,,,,,,,,0,"Bhatia, Dinesh","Sears, Mark R",,,,,dinesh,dinesh bhatia,Digital Circuits 
CE,3320,002,2,,3,3,,,1,,1,,1,1,2,,,,,0,"Khoobroo, Amir","Jain, Apurva",,,,,axk144831,amir khoobroo,Digital Circuits 
CE,3320,003,2,1,2,3,1,1,1,,2,,,,,,,,,0,"Basu, Kanad","Kundu, Shamik","Meng, Xingyu",,,,kxb190012,kanad basu,Digital Circuits 
CE,3345,003,1,4,,,1,3,,,1,,,,,,,,,0,"Satpute, Meghana N",,,,,,mns086000,meghana satpute,Data Structures and Introduction to Algorithmic Analysis 
CE,3345,006,,2,4,2,1,1,,,1,,,,1,,,,,0,"Feng, Ranran",,,,,,rxf090020,ranran feng,Data Structures and Introduction to Algorithmic Analysis 
CE,3354,006,,3,2,3,1,,,,1,,1,,,,,,,2,"Nouroz Borazjany, Mehra",,,,,,mxn143230,mehra borazjany,Software Engineering 
CE,4204,001,9,18,4,2,,,,,,,,,,,,,,1,"Young, Chadwin D","Hossain Bhuiyan, Md Emran","Abousaba, Mohammad F","Ahmed, Sabrina",,,cdy120030,chadwin young,Electrical and Computer Engineering Laboratory in Devices 
CE,4205,001,2,6,2,2,,2,2,1,,,,,1,,,,,0,"Akin, Bilal","Farhadi, Masoud","Sajadi, Abdolrahman","Deshmukh, Akshay Vijayrao",,,bxa123330,bilal akin,Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems 
CE,4304,001,,4,2,,1,1,1,1,3,,,5,8,,,,,0,"Swartz, William P","Akbarzadeh, Sara","Chowdhury, Prattay","Zeng, Xiaoming",,,wps100020,william swartz,Computer Architecture 
CE,4304,002,3,4,1,1,2,5,2,,,,1,,,,,,,1,"Swartz, William P","Akbarzadeh, Sara","Chowdhury, Prattay","Zeng, Xiaoming",,,wps100020,william swartz,Computer Architecture 
CE,4304,003,,3,4,,2,4,,2,3,,1,,2,,,,,0,"Swartz, William P","Akbarzadeh, Sara","Chowdhury, Prattay","Zeng, Xiaoming",,,wps100020,william swartz,Computer Architecture 
CE,4337,001,9,1,4,,1,1,1,2,1,,1,,2,,,,,0,"Karami, Gity","Florez Fandino, Juan Manuel",,,,,gxk180009,gity karami,Programming Language Paradigms 
CE,4337,002,1,4,6,4,2,2,2,2,1,1,,,1,,,,1,0,"Min, Richard K","Aggarwal, Alakh",,,,,rkm010300,richard min,Programming Language Paradigms 
CE,4337,003,,3,3,7,3,3,6,4,4,,,,,,,,,0,"Davis, Chris I","Wang, Guanghua","Su, Ke",,,,cid021000,chris davis,Programming Language Paradigms 
CE,4337,501,2,6,5,10,,1,,1,2,,,1,,,,,,2,"Salazar, Elmer E","Liu, Ximeng",,,,,ees101020,elmer salazar,Programming Language Paradigms 
CE,4337,502,,3,8,2,3,2,2,,2,,,,1,,,,,1,"Salazar, Elmer E","Liu, Ximeng","Rathnasuriya, Ravishka S",,,,ees101020,elmer salazar,Programming Language Paradigms 
CE,4337,504,,7,2,3,3,2,4,,2,,,,,,,,,0,"Davis, Chris I","Wang, Guanghua","Abdeljaber, Luay",,,,cid021000,chris davis,Programming Language Paradigms 
CE,4337,505,2,4,3,1,1,5,4,6,,,,,,,,,,0,"Davis, Chris I","Zeng, Yankai",,,,,cid021000,chris davis,Programming Language Paradigms 
CE,4348,001,,11,4,5,6,5,7,14,,3,3,2,4,,,,,2,"Goodrum, Richard A",,,,,,rag150330,richard goodrum,Operating Systems Concepts 
CE,4370,001,3,4,11,8,5,2,,,,,,,,,,,,0,"Carrion Schaefer, Benjamin","Rashid, Md Imtiaz","Wang, Yifan",,,,bxc162630,benjamin carrion schaefer,Embedded Systems 
CE,4370,002,6,13,3,2,10,1,2,,,1,,,1,,,,,1,"Swartz, William P","Raghavendra, Shruthi","Wang, Yifan",,,,wps100020,william swartz,Embedded Systems 
CE,4388,001,,18,,1,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
CE,4389,001,,16,,,2,1,1,,,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project II 
CE,4389,003,2,11,1,1,,2,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project II 
CE,4389,004,1,11,1,1,,,,,,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project II 
CE,4390,002,1,1,2,,,1,2,2,1,1,2,,1,,,,,2,"Le, Khiem V","Deniz, Omer Faruk",,,,,kvl140030,khiem le,Computer Networks 
CE,6301,001,,7,5,1,3,1,2,2,,,,,,,,,,0,"Nourani, Mehrdad","Steele, Alec M",,,,,nourani,mehrdad nourani,Advanced Digital Logic 
CE,6302,001,,12,6,2,1,,,,,,,,,,,,,0,"Nikoubin, Tooraj","Chowdhury, Prattay","Gao, Tianning","Si, Qilin",,,txn190011,tooraj nikoubin,Microprocessor and Embedded Systems 
CE,6304,001,,19,14,2,1,,,,,,,,,,,,,0,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor,Computer Architecture 
CE,6325,001,,4,3,1,2,2,,1,,,,,2,,,,,0,"Friedman, Joseph S","Xu, Xiangyu","Nahar, Lubaba M",,,,jsf160330,joseph friedman,VLSI Design 
CE,6370,001,,8,3,6,5,1,,,,,,,,,,,,0,"Bhatia, Dinesh","Sears, Mark R",,,,,dinesh,dinesh bhatia,Design and Analysis of Reconfigurable Systems 
CGS,2301,0W1,38,21,10,4,4,5,3,3,3,1,,1,3,,,,,3,"Hooge, Kimberley O","Alghamdi, Saad A",,,,,koh170030,kimberley orsten hooge,Cognitive Science 
CGS,2301,HN1,5,7,3,,1,3,,1,,,1,,,,,,,0,"O'Toole, Alice J",,,,,,otoole,alice otoole,Cognitive Science 
CGS,3361,001,3,4,,1,2,,,,,,,,,,,,,0,"Roark, Dana A","Winter-Nelson, Ezra",,,,,danar,dana roark,Cognitive Psychology 
CGS,3361,002,,,2,1,1,1,3,2,,1,,,1,,,,,0,"Wig, Gagandeep S","Holmes, Melanie C",,,,,gsw130130,gagan wig,Cognitive Psychology 
CGS,4353,0W1,8,2,1,,2,,,,,,,,,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick,Human-Computer Interaction II 
CGS,4359,001,,,1,1,1,5,,,1,,,,1,,,,,0,"Natu, Vaidehi S","Kim, Hyun-Woong",,,,,vsn061000,vaidehi natu,Cognitive Neuroscience 
CHEM,1111,101,5,5,2,,2,,1,1,4,3,,1,3,,,,,3,"Gavva, Sandhya R","Gamage, Madujika A",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,102,4,7,3,5,4,1,2,1,,,,,3,,,,,0,"Panangala, Samitha D","Giri, Sachin",,,,,sdp140230,samitha panangala,General Chemistry Laboratory I 
CHEM,1111,103,1,5,2,1,5,2,3,4,2,1,,,4,,,,,0,"Huang, Yu","Hasna Begam, Mohammed Nazar",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,104,,4,4,2,4,,1,,1,,1,1,8,,,,,4,"Panangala, Samitha D","Martinez Garcia, Jonathan",,,,,sdp140230,samitha panangala,General Chemistry Laboratory I 
CHEM,1111,105,3,6,1,4,1,1,3,3,,,1,,4,,,,,3,"Huang, Yu","Montalvillo, Fernando",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,106,5,5,2,3,1,4,1,1,1,1,,,3,,,,,3,"Panangala, Samitha D","Giri, Sachin",,,,,sdp140230,samitha panangala,General Chemistry Laboratory I 
CHEM,1111,601,1,2,2,,2,2,1,3,1,,1,4,10,,,,,1,"Jaggi, Neelam","Mihranyan, Andranik",,,,,nxj190013,,General Chemistry Laboratory I 
CHEM,1112,101,12,6,5,2,1,1,1,,,,,,1,,,,,1,"Jaggi, Neelam","Montalvillo, Fernando",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,102,16,7,1,,1,1,1,,,,1,,1,,,,,1,"Abeykoon, Nimali C","Giri, Sachin",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,103,10,2,2,3,1,1,,3,,,1,1,3,,,,,3,"Abeykoon, Nimali C","Tran, Ly T",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,104,15,5,6,,1,,,,,1,,,1,,,,,1,"Jaggi, Neelam","Johnson, Rebecca M",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,105,14,13,2,1,,,,,,,,,,,,,,0,"Gavva, Sandhya R","Hasna Begam, Mohammed Nazar",,,,,sgavva,sandhya gavva,General Chemistry Laboratory II 
CHEM,1112,106,17,4,3,1,1,1,,,,,,,2,,,,,1,"Gavva, Sandhya R","Gull, Humera",,,,,sgavva,sandhya gavva,General Chemistry Laboratory II 
CHEM,1112,107,12,8,4,3,1,,1,,,,1,,,,,,,0,"Qin, Yanping","Heidari, Sahar",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,108,9,11,3,3,1,,,,,,,,2,,,,,1,"Qin, Yanping","Yamada, Kyohei",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,109,13,11,1,,,1,1,1,1,,,,1,,,,,0,"Qin, Yanping","Heidari, Sahar",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,110,16,12,,2,,,,,,,,,,,,,,0,"Anka, Fadwa H","Saleh, Mohammad S",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,111,20,4,1,1,,1,1,,,,1,1,,,,,,0,"Anka, Fadwa H","Mihranyan, Andranik",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,112,18,5,,2,,1,,,2,,,,1,,,,,1,"Jaggi, Neelam","Gamage, Madujika A",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,113,12,10,3,,1,1,1,,,,,,,,,,,2,"Abeykoon, Nimali C","Gull, Humera",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,114,20,3,1,1,,,,1,1,,1,,1,,,,,0,"Abeykoon, Nimali C","Mihranyan, Andranik",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,115,18,6,1,,,,,1,1,,,,2,,,,,0,"Jaggi, Neelam","Gamage, Madujika A",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,116,13,8,,3,,1,,,,,1,,1,,,,,1,"Gavva, Sandhya R","Montalvillo, Fernando",,,,,sgavva,sandhya gavva,General Chemistry Laboratory II 
CHEM,1112,117,21,3,,1,3,,,,,,,,1,,,,,1,"Gavva, Sandhya R","Heidari, Sahar",,,,,sgavva,sandhya gavva,General Chemistry Laboratory II 
CHEM,1112,119,20,3,2,1,,,,2,,,,1,,,,,,1,"Qin, Yanping","Tran, Ly T",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,120,14,6,4,2,1,2,,,,,,,,,,,,1,"Qin, Yanping","Akintayo, Abiola D","Saleh, Mohammad S",,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,121,19,3,2,1,2,,,,,1,,,,,,,,2,"Anka, Fadwa H","Popa, Marius S",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,122,18,4,1,3,,,,,,,,,1,,,,,2,"Anka, Fadwa H","Sepasi, Zahra",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,123,13,10,1,1,2,2,,,,,,,1,,,,,0,"Jaggi, Neelam","Bonnand, Evan F",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,124,9,10,1,1,1,,,1,,,,1,5,,,,,1,"Qin, Yanping","Popa, Marius S",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,125,13,9,2,2,,3,,,,,1,,,,,,,0,"Qin, Yanping","Sepasi, Zahra",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,126,12,5,3,1,3,2,,1,,,,,1,,,,,2,"Hashami, Zohreh","Bonnand, Evan F",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,127,11,7,2,2,1,3,,1,1,,1,,1,,,,,0,"Hashami, Zohreh","Popa, Marius S",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,128,8,6,5,1,2,2,,4,,,,,1,,,,,1,"Panangala, Samitha D","Umer, Arslan",,,,,sdp140230,samitha panangala,General Chemistry Laboratory II 
CHEM,1112,601,9,6,5,3,2,,1,1,,,,,3,,,,,0,"Sisk, Joshua R","Bonnand, Evan F",,,,,jrs106020,joshua sisk,General Chemistry Laboratory II 
CHEM,1112,602,12,10,1,,1,,1,2,1,,1,,,,,,,1,"Sisk, Joshua R","Johnson, Rebecca M",,,,,jrs106020,joshua sisk,General Chemistry Laboratory II 
CHEM,1112,603,5,6,7,,2,2,1,1,,,2,1,3,,,,,0,"Abeykoon, Nimali C","Yamada, Kyohei",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,604,8,3,7,1,1,1,1,1,,,,,3,,,,,2,"Panangala, Samitha D","Gull, Humera",,,,,sdp140230,samitha panangala,General Chemistry Laboratory II 
CHEM,1112,605,5,6,5,4,,,3,,1,,,,2,,,,,3,"Panangala, Samitha D","Umer, Arslan",,,,,sdp140230,samitha panangala,General Chemistry Laboratory II 
CHEM,1116,HN1,9,19,,,1,,,,,,,,,,,,,0,"Sibert, John W",,,,,,sibertj,john sibert,Honors Freshman Chemistry Laboratory II 
CHEM,1311,001,12,17,12,24,33,22,16,18,26,4,8,4,25,,,,1,14,"Sra, Amandeep K","Rifat, Samia",,,,,aks057000,amandeep sra,General Chemistry I 
CHEM,1312,001,20,20,24,12,15,23,14,19,26,15,8,6,29,,,,3,15,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor,General Chemistry II 
